timestamp,host,cpu,mem,net_in,net_out
2025-10-01T12:01:00,host-0,20,40,220,200
2025-10-01T12:01:01,host-1,21,41,222,202
2025-10-01T12:01:02,host-2,22,42,224,204
2025-10-01T12:01:03,host-3,23,43,226,206
2025-10-01T12:01:04,host-4,24,44,228,208
2025-10-01T12:01:05,host-0,25,40,230,210
2025-10-01T12:01:06,host-1,26,41,232,212
2025-10-01T12:01:07,host-2,27,42,234,214
2025-10-01T12:01:08,host-3,28,43,236,216
2025-10-01T12:01:09,host-4,29,44,238,218
2025-10-01T12:01:10,host-0,20,40,240,220
2025-10-01T12:01:11,host-1,21,41,242,222
2025-10-01T12:01:12,host-2,22,42,244,224
2025-10-01T12:01:13,host-3,23,43,246,226
2025-10-01T12:01:14,host-4,24,44,248,228
2025-10-01T12:01:15,host-0,25,40,250,230
2025-10-01T12:01:16,host-1,26,41,252,232
2025-10-01T12:01:17,host-2,27,42,254,234
2025-10-01T12:01:18,host-3,28,43,256,236
2025-10-01T12:01:19,host-4,29,44,258,238
2025-10-01T12:01:20,host-0,20,40,260,240
2025-10-01T12:01:21,host-1,21,41,262,242
2025-10-01T12:01:22,host-2,22,42,264,244
2025-10-01T12:01:23,host-3,23,43,266,246
2025-10-01T12:01:24,host-4,24,44,268,248
2025-10-01T12:01:25,host-0,25,40,270,250
2025-10-01T12:01:26,host-1,26,41,272,252
2025-10-01T12:01:27,host-2,27,42,274,254
2025-10-01T12:01:28,host-3,28,43,276,256
2025-10-01T12:01:29,host-4,29,44,278,258
2025-10-01T12:01:30,host-0,20,40,280,260
2025-10-01T12:01:31,host-1,21,41,282,262
2025-10-01T12:01:32,host-2,22,42,284,264
2025-10-01T12:01:33,host-3,23,43,286,266
2025-10-01T12:01:34,host-4,24,44,288,268
2025-10-01T12:01:35,host-0,25,40,290,270
2025-10-01T12:01:36,host-1,26,41,292,272
2025-10-01T12:01:37,host-2,27,42,294,274
2025-10-01T12:01:38,host-3,28,43,296,276
2025-10-01T12:01:39,host-4,29,44,298,278
2025-10-01T12:01:40,host-0,50,40,300,280
2025-10-01T12:01:41,host-1,21,41,302,282
2025-10-01T12:01:42,host-2,22,42,304,284
2025-10-01T12:01:43,host-3,23,43,306,286
2025-10-01T12:01:44,host-4,24,44,308,288
2025-10-01T12:01:45,host-0,25,40,310,290
2025-10-01T12:01:46,host-1,26,41,312,292
2025-10-01T12:01:47,host-2,27,42,314,294
2025-10-01T12:01:48,host-3,28,43,316,296
2025-10-01T12:01:49,host-4,29,44,318,298
2025-10-01T12:01:50,host-0,20,40,320,300
2025-10-01T12:01:51,host-1,21,41,322,302
2025-10-01T12:01:52,host-2,22,42,324,304
2025-10-01T12:01:53,host-3,23,43,326,306
2025-10-01T12:01:54,host-4,24,44,328,308
2025-10-01T12:01:55,host-0,25,40,330,310
2025-10-01T12:01:56,host-1,26,41,332,312
2025-10-01T12:01:57,host-2,27,42,334,314
2025-10-01T12:01:58,host-3,28,43,336,316
2025-10-01T12:01:59,host-4,29,44,338,318
2025-10-01T12:02:00,host-0,20,40,340,320
2025-10-01T12:02:01,host-1,21,41,342,322
2025-10-01T12:02:02,host-2,22,42,344,324
2025-10-01T12:02:03,host-3,23,43,346,326
2025-10-01T12:02:04,host-4,24,44,348,328
2025-10-01T12:02:05,host-0,25,40,350,330
2025-10-01T12:02:06,host-1,26,41,352,332
2025-10-01T12:02:07,host-2,27,42,354,334
2025-10-01T12:02:08,host-3,28,43,356,336
2025-10-01T12:02:09,host-4,29,44,358,338
2025-10-01T12:02:10,host-0,20,40,360,340
2025-10-01T12:02:11,host-1,21,41,362,342
2025-10-01T12:02:12,host-2,22,42,364,344
2025-10-01T12:02:13,host-3,23,43,366,346
2025-10-01T12:02:14,host-4,24,44,368,348
2025-10-01T12:02:15,host-0,25,40,370,350
2025-10-01T12:02:16,host-1,26,41,372,352
2025-10-01T12:02:17,host-2,27,42,374,354
2025-10-01T12:02:18,host-3,28,43,376,356
2025-10-01T12:02:19,host-4,29,44,378,358
2025-10-01T12:02:20,host-0,20,40,380,360
2025-10-01T12:02:21,host-1,21,41,382,362
2025-10-01T12:02:22,host-2,22,42,384,364
2025-10-01T12:02:23,host-3,23,43,386,366
2025-10-01T12:02:24,host-4,24,44,388,368
2025-10-01T12:02:25,host-0,25,40,390,370
2025-10-01T12:02:26,host-1,26,41,392,372
2025-10-01T12:02:27,host-2,27,42,394,374
2025-10-01T12:02:28,host-3,28,43,396,376
2025-10-01T12:02:29,host-4,29,44,398,378
2025-10-01T12:02:30,host-0,50,40,400,380
2025-10-01T12:02:31,host-1,21,41,402,382
2025-10-01T12:02:32,host-2,22,42,404,384
2025-10-01T12:02:33,host-3,23,43,406,386
2025-10-01T12:02:34,host-4,24,44,408,388
2025-10-01T12:02:35,host-0,25,40,410,390
2025-10-01T12:02:36,host-1,26,41,412,392
2025-10-01T12:02:37,host-2,27,42,414,394
2025-10-01T12:02:38,host-3,28,43,416,396
2025-10-01T12:02:39,host-4,29,44,418,398
2025-10-01T12:02:40,host-0,20,40,420,400
2025-10-01T12:02:41,host-1,21,41,422,402
2025-10-01T12:02:42,host-2,22,42,424,404
2025-10-01T12:02:43,host-3,23,43,426,406
2025-10-01T12:02:44,host-4,24,44,428,408
2025-10-01T12:02:45,host-0,25,40,430,410
2025-10-01T12:02:46,host-1,26,41,432,412
2025-10-01T12:02:47,host-2,27,42,434,414
2025-10-01T12:02:48,host-3,28,43,436,416
2025-10-01T12:02:49,host-4,29,44,438,418
2025-10-01T12:02:50,host-0,20,40,440,420
2025-10-01T12:02:51,host-1,21,41,442,422
2025-10-01T12:02:52,host-2,22,42,444,424
2025-10-01T12:02:53,host-3,23,43,446,426
2025-10-01T12:02:54,host-4,24,44,448,428
2025-10-01T12:02:55,host-0,25,40,450,430
2025-10-01T12:02:56,host-1,26,41,452,432
2025-10-01T12:02:57,host-2,27,42,454,434
2025-10-01T12:02:58,host-3,28,43,456,436
2025-10-01T12:02:59,host-4,29,44,458,438
2025-10-01T12:03:00,host-0,20,40,460,440
2025-10-01T12:03:01,host-1,21,41,462,442
2025-10-01T12:03:02,host-2,22,42,464,444
2025-10-01T12:03:03,host-3,23,43,466,446
2025-10-01T12:03:04,host-4,24,44,468,448
2025-10-01T12:03:05,host-0,25,40,470,450
2025-10-01T12:03:06,host-1,26,41,472,452
2025-10-01T12:03:07,host-2,27,42,474,454
2025-10-01T12:03:08,host-3,28,43,476,456
2025-10-01T12:03:09,host-4,29,44,478,458
2025-10-01T12:03:10,host-0,20,40,480,460
2025-10-01T12:03:11,host-1,21,41,482,462
2025-10-01T12:03:12,host-2,22,42,484,464
2025-10-01T12:03:13,host-3,23,43,486,466
2025-10-01T12:03:14,host-4,24,44,488,468
2025-10-01T12:03:15,host-0,25,40,490,470
2025-10-01T12:03:16,host-1,26,41,492,472
2025-10-01T12:03:17,host-2,27,42,494,474
2025-10-01T12:03:18,host-3,28,43,496,476
2025-10-01T12:03:19,host-4,29,44,498,478
